House_ID,State,City,Property_Type,Bedrooms,Bathrooms,Area_sqm,Age_Years,Parking_Spaces,Price_NGN
H0247,Kogi,Okene,Flat,3,4,111,23,0,23700000
H0133,Kwara,Ilorin,Flat,4,4,483,4,2,71500000
H0598,Anambra,Nnewi,Detached Duplex,2,2,603,15,2,185200000
H0135,Katsina,Katsina,Bungalow,4,3,756,14,2,92600000
H0238,Bayelsa,Yenagoa,Bungalow,6,6,698,23,1,99800000
H0146,Yobe,Damaturu,Detached Duplex,5,4,341,8,0,73000000
H0093,Kebbi,Birnin Kebbi,Detached Duplex,4,3,217,34,6,40800000
H0578,Enugu,Nsukka,Detached Duplex,6,6,397,4,6,153400000
H0925,Niger,Suleja,Terrace Duplex,5,5,53,20,0,37300000
H0473,Ebonyi,Abakaliki,Detached Duplex,2,1,762,19,3,137500000
H0998,Ebonyi,Abakaliki,Flat,3,3,341,15,0,37000000
H0991,Benue,Makurdi,Semi-Detached Duplex,4,4,413,9,4,80200000
H0104,Plateau,Jos,Semi-Detached Duplex,2,1,330,13,0,58100000
H0935,Lagos,Lekki,Flat,4,4,300,8,1,188200000
H0002,Zamfara,Gusau,Bungalow,5,6,290,0,4,41600000
H0432,Ekiti,Ado-Ekiti,Semi-Detached Duplex,6,6,48,13,2,44100000
H0511,Katsina,Katsina,Bungalow,4,4,765,2,6,86600000
H0591,Katsina,Katsina,Detached Duplex,6,7,172,25,5,57600000
H0821,Plateau,Jos,Detached Duplex,6,5,313,27,1,92100000
H0747,Kaduna,Kaduna,Semi-Detached Duplex,1,1,313,27,3,64400000
H0813,Bauchi,Azare,Terrace Duplex,6,6,100,21,2,39300000
H0174,Gombe,Gombe,Terrace Duplex,4,5,88,17,6,34200000
H0999,Jigawa,Hadejia,Terrace Duplex,2,1,79,8,4,19900000
H0699,Enugu,Nsukka,Detached Duplex,5,5,76,18,6,63300000
H0870,Ebonyi,Abakaliki,Detached Duplex,2,1,397,24,3,78800000
H0922,Bayelsa,Yenagoa,Terrace Duplex,5,5,792,29,3,103200000
H0057,Kogi,Okene,Flat,6,7,457,20,1,52800000
